SampleID	Type	Group
P978	facultative	group2
P979	facultative	group1
P980	facultative	group2
P981	facultative	group1
P982	facultative	group2
P983	facultative	group1
P984	facultative	group2
P985	facultative	group1
P986	facultative	group2
P987	facultative	group1
P988	facultative	group2
P989	facultative	group1
P990	facultative	group2
P991	facultative	group1
P992	facultative	group2
P993	facultative	group1
P994	facultative	group2
P995	facultative	group1
P996	facultative	group2
P997	facultative	group1
P998	facultative	group2
P999	facultative	group1
P1000	facultative	group2
P1001	facultative	group1
P1002	facultative	group2
P1003	facultative	group1
P1004	facultative	group2
P1005	facultative	group1
P1006	facultative	group2
P1007	facultative	group1
P1008	facultative	group2
P1009	facultative	group1
P1010	facultative	group2
P1011	facultative	group1
P1012	facultative	group2
P1013	facultative	group1
P1014	facultative	group2
P1015	facultative	group1
P1016	facultative	group2
P1017	facultative	group1
P1018	facultative	group2
P1019	facultative	group1
P1020	facultative	group2
P1021	facultative	group1
P1022	facultative	group2
P1023	facultative	group1
P1024	facultative	group2
P1025	facultative	group1
P1026	facultative	group2
P1027	facultative	group1
P1028	facultative	group2
P1029	facultative	group1
P1030	facultative	group2
P1031	facultative	group1
P1032	facultative	group2
P1033	facultative	group1
P1034	facultative	group2
P1035	facultative	group1
P1036	facultative	group2
P1037	facultative	group1
P1038	facultative	group2
P1039	facultative	group1
P1040	facultative	group2
P1041	facultative	group1
P1042	facultative	group2
P1043	facultative	group1
P1044	facultative	group2
P1045	facultative	group1
P1046	facultative	group2
P1047	facultative	group1
P1048	facultative	group2
P1049	facultative	group1
P1050	facultative	group2
P1051	facultative	group1
P1052	facultative	group2
P1053	facultative	group1
P1054	facultative	group2
P1055	facultative	group1
P1056	facultative	group2
P1057	facultative	group1
P1058	facultative	group2
P1059	facultative	group1
P1060	facultative	group2
P1061	facultative	group1
P1062	facultative	group2
P1063	facultative	group1
P1064	facultative	group2
P1065	facultative	group1
P1066	facultative	group2
P1067	facultative	group1
P1068	facultative	group2
P1069	facultative	group1
P1070	facultative	group2
P1071	facultative	group1
P1072	facultative	group2
P1073	facultative	group1
P1074	facultative	group2
P1075	facultative	group1
P1076	facultative	group2
P1077	facultative	group1
P1078	facultative	group2
P1079	facultative	group1
P1080	facultative	group2
P1081	facultative	group1
P1082	facultative	group2
P1083	facultative	group1
P1084	facultative	group2
P1085	facultative	group1
P1086	facultative	group2
P1087	facultative	group1
P1088	facultative	group2
P1089	facultative	group1
P1090	facultative	group2
P1091	facultative	group1
P1092	facultative	group2
P1093	facultative	group1
P1094	facultative	group2
P1095	facultative	group1
P1096	facultative	group2
P1097	facultative	group1
P1098	facultative	group2
P1099	facultative	group1
P1100	facultative	group2
P1101	facultative	group1
P1102	facultative	group2
P1103	facultative	group1
P1104	facultative	group2
P1105	facultative	group1
P1106	facultative	group2
P1107	facultative	group1
P1108	facultative	group2
P1109	facultative	group1
P1110	facultative	group2
P1111	facultative	group1
P1112	facultative	group2
P1113	facultative	group1
P1114	facultative	group2
P1115	facultative	group1
P1116	facultative	group2
P1117	facultative	group1
P1118	facultative	group2
P1119	facultative	group1
P1120	facultative	group2
P1121	facultative	group1
P1122	facultative	group2
P1123	facultative	group1
P1124	facultative	group2
P1125	facultative	group1
P1126	facultative	group2
P1127	facultative	group1
P1128	facultative	group2
P1129	facultative	group1
P1130	facultative	group2
P1131	facultative	group1
P1132	facultative	group2
P1133	facultative	group1
P1134	facultative	group2
P1135	facultative	group1
P1136	facultative	group2
P1137	facultative	group1
P1138	facultative	group2
P1139	facultative	group1
P1140	facultative	group2
P1141	facultative	group1
P1142	facultative	group2
P1143	facultative	group1
P1144	facultative	group2
P1145	facultative	group1
P1146	facultative	group2
P1147	facultative	group1
P1148	facultative	group2
P1149	facultative	group1
P1150	facultative	group2
P1151	facultative	group1
P1152	facultative	group2
P1153	facultative	group1
P1154	facultative	group2
P1155	facultative	group1
P1156	facultative	group2
P1157	facultative	group1
P1158	facultative	group2
P1159	facultative	group1
P1160	facultative	group2
P1161	facultative	group1
P1162	facultative	group2
P1163	facultative	group1
P1164	facultative	group2
P1165	facultative	group1
P1166	facultative	group2
P1167	facultative	group1
P1168	facultative	group2
P1169	facultative	group1
P1170	facultative	group2
P1171	facultative	group1
P1172	facultative	group2
P1173	facultative	group1
P1174	facultative	group2
P1175	facultative	group1
P1176	facultative	group2
P1183	facultative	group1
P1184	facultative	group2
P1187	facultative	group1
P1197	facultative	group2
P1198	facultative	group1
P1205	facultative	group2
P1256	facultative	group1
P1257	facultative	group2
P1258	facultative	group1
P1259	facultative	group2
P1286	facultative	group1
P1287	facultative	group2
P1288	facultative	group1
P1289	facultative	group2
P1290	facultative	group1
P1291	facultative	group2
P1292	facultative	group1
P1293	facultative	group2
P1294	facultative	group1
P1295	facultative	group2
P1296	facultative	group1
P1297	facultative	group2
P1301	facultative	group1
P1310	facultative	group2
P1337	facultative	group1
P1350	facultative	group2
P1357	facultative	group1
P1358	facultative	group2
P1361	facultative	group1
P1363	facultative	group2
P1368	facultative	group1
P1369	facultative	group2
P1370	facultative	group1
P1371	facultative	group2
P1372	facultative	group1
P1373	facultative	group2
P1374	facultative	group1
P1375	facultative	group2
P1376	facultative	group1
P1377	facultative	group2
P1378	facultative	group1
P1379	facultative	group2
P1380	facultative	group1
P1381	facultative	group2
P1382	facultative	group1
P1383	facultative	group2
P1384	facultative	group1
P1385	facultative	group2
P1386	facultative	group1
P1387	facultative	group2
P1388	facultative	group1
P1389	facultative	group2
P1390	facultative	group1
P1391	facultative	group2
P1392	facultative	group1
P1393	facultative	group2
P1394	facultative	group1
P1395	facultative	group2
P1396	facultative	group1
P1397	facultative	group2
P1398	facultative	group1
P1399	facultative	group2
P1400	facultative	group1
P1401	facultative	group2
P1402	facultative	group1
P1403	facultative	group2
P1404	facultative	group1
P1405	facultative	group2
P1406	facultative	group1
P1407	facultative	group2
P1408	facultative	group1
P1409	facultative	group2
P1410	facultative	group1
P1411	facultative	group2
P1412	facultative	group1
P1413	facultative	group2
P1414	facultative	group1
P1415	facultative	group2
P1416	facultative	group1
P1417	facultative	group2
P1418	facultative	group1
P1419	facultative	group2
P1420	facultative	group1
P1421	facultative	group2
P1422	facultative	group1
P1423	facultative	group2
P1424	facultative	group1
P1425	facultative	group2
P1426	facultative	group1
P1427	facultative	group2
P1428	facultative	group1
P1429	facultative	group2
P1430	facultative	group1
P1431	facultative	group2
P1432	facultative	group1
P1433	facultative	group2
P1434	facultative	group1
P1435	facultative	group2
P1436	facultative	group1
P1437	facultative	group2
P1438	facultative	group1
P1439	facultative	group2
P1440	facultative	group1
P1441	facultative	group2
P1442	facultative	group1
P1443	facultative	group2
P1444	facultative	group1
P1445	facultative	group2
P1446	facultative	group1
P1447	facultative	group2
P1448	facultative	group1
P1449	facultative	group2
P1450	facultative	group1
P1451	facultative	group2
P1452	facultative	group1
P1453	facultative	group2
P1454	facultative	group1
P1455	facultative	group2
P1456	facultative	group1
P1457	facultative	group2
P1458	facultative	group1
P1459	facultative	group2
P1460	facultative	group1
P1461	facultative	group2
P1462	facultative	group1
P1463	facultative	group2
P1464	facultative	group1
P1465	facultative	group2
P1466	facultative	group1
P1467	facultative	group2
P1468	facultative	group1
P1469	facultative	group2
P1470	facultative	group1
P1471	facultative	group2
P1472	facultative	group1
P1473	facultative	group2
P1474	facultative	group1
P1475	facultative	group2
P1476	facultative	group1
P1477	facultative	group2
P1478	facultative	group1
P1479	facultative	group2
P1480	facultative	group1
P1481	facultative	group2
P1482	facultative	group1
P1483	facultative	group2
P1484	facultative	group1
P1485	facultative	group2
P1486	facultative	group1
P1487	facultative	group2
P1488	facultative	group1
P1489	facultative	group2
P1490	facultative	group1
P1491	facultative	group2
P1492	facultative	group1
P1493	facultative	group2
P1494	facultative	group1
P1495	facultative	group2
P1496	facultative	group1
P1497	facultative	group2
P1498	facultative	group1
P1499	facultative	group2
P1500	facultative	group1
P1501	facultative	group2
P1502	facultative	group1
P1503	facultative	group2
P1504	facultative	group1
P1505	facultative	group2
P1506	facultative	group1
P1507	facultative	group2
P1508	facultative	group1
P1509	facultative	group2
P1510	facultative	group1
P1511	facultative	group2
P1512	facultative	group1
P1513	facultative	group2
P1520	facultative	group1
P1614	facultative	group2
P1615	facultative	group1
P1628	facultative	group2
P1629	facultative	group1
P1630	facultative	group2
P1631	facultative	group1
P1632	facultative	group2
P1633	facultative	group1
P1634	facultative	group2
P1635	facultative	group1
P1636	facultative	group2
P1642	facultative	group1
P1643	facultative	group2
P1655	facultative	group1
P1671	facultative	group2
P1684	facultative	group1
P1685	facultative	group2
P1700	facultative	group1
P1701	facultative	group2
P1750	facultative	group1
P1751	facultative	group2
P1761	facultative	group1
P1762	facultative	group2
P1763	facultative	group1
P1764	facultative	group2
P1772	facultative	group1
P1774	facultative	group2
P1776	facultative	group1
P1779	facultative	group2
P1797	facultative	group1
P1798	facultative	group2
P1799	facultative	group1
P1805	facultative	group2
P1833	facultative	group1
P1834	facultative	group2
P1845	facultative	group1
P1846	facultative	group2
P1856	facultative	group1
P1859	facultative	group2
P1906	facultative	group1
P1907	facultative	group2
P1921	facultative	group1
P1922	facultative	group2
P1923	facultative	group1
P1925	facultative	group2
P1927	facultative	group1
P1950	facultative	group2
P1955	facultative	group1
P1956	facultative	group2
P1968	facultative	group1
P1973	facultative	group2
P1981	facultative	group1
P1982	facultative	group2
P1985	facultative	group1
P1988	facultative	group2
P1993	facultative	group1
P1994	facultative	group2
P1995	facultative	group1
P1996	facultative	group2
P1998	facultative	group1
P1999	facultative	group2
P2000	facultative	group1
P2007	facultative	group2
P2008	facultative	group1
P2009	facultative	group2
P2022	facultative	group1
P2023	facultative	group2
P2030	facultative	group1
P2031	facultative	group2
P2032	facultative	group1
P2033	facultative	group2
P2034	facultative	group1
P2035	facultative	group2
P2036	facultative	group1
P2037	facultative	group2
P2038	facultative	group1
P2039	facultative	group2
P2040	facultative	group1
P2041	facultative	group2
P2042	facultative	group1
P2043	facultative	group2
P2044	facultative	group1
P2046	facultative	group2
P2047	facultative	group1
P2059	facultative	group2
P2060	facultative	group1
P2061	facultative	group2
P2062	facultative	group1
P2091	facultative	group2
P2092	facultative	group1
P2093	facultative	group2
P2095	facultative	group1
P2108	facultative	group2
P2151	facultative	group1
P2152	facultative	group2
P2194	facultative	group1
P2241	facultative	group2
P2247	facultative	group1
P2252	facultative	group2
P2262	facultative	group1
P2265	facultative	group2
P2266	facultative	group1
P2267	facultative	group2
P2273	facultative	group1
P2274	facultative	group2
P2281	facultative	group1
P2292	facultative	group2
P2309	facultative	group1
P2310	facultative	group2
P2312	facultative	group1
P2326	facultative	group2
P2328	facultative	group1
P2330	facultative	group2
P2331	facultative	group1
P2332	facultative	group2
P2336	facultative	group1
P2337	facultative	group2
P2338	facultative	group1
P2340	facultative	group2
P2341	facultative	group1
P2400	facultative	group2
P2403	facultative	group1
P2405	facultative	group2
P2406	facultative	group1
P2407	facultative	group2
P2408	facultative	group1
P2409	facultative	group2
P2410	facultative	group1
P2411	facultative	group2
P2412	facultative	group1
P2413	facultative	group2
P2414	facultative	group1
P2415	facultative	group2
P2416	facultative	group1
P2417	facultative	group2
P2418	facultative	group1
P2419	facultative	group2
P2420	facultative	group1
P2421	facultative	group2
P2422	facultative	group1
P2423	facultative	group2
P2424	facultative	group1
P2425	facultative	group2
P2426	facultative	group1
P2427	facultative	group2
P2428	facultative	group1
P2429	facultative	group2
P2430	facultative	group1
P2431	facultative	group2
P2432	facultative	group1
P2433	facultative	group2
P2434	facultative	group1
P2435	facultative	group2
P2436	facultative	group1
P2437	facultative	group2
P2438	facultative	group1
P2439	facultative	group2
P2440	facultative	group1
P2441	facultative	group2
P2442	facultative	group1
P2443	facultative	group2
P2444	facultative	group1
P2445	facultative	group2
P2446	facultative	group1
P2447	facultative	group2
P2448	facultative	group1
P2449	facultative	group2
P2450	facultative	group1
P2451	facultative	group2
P2452	facultative	group1
P2453	facultative	group2
P2454	facultative	group1
P2455	facultative	group2
P2456	facultative	group1
P2457	facultative	group2
P2458	facultative	group1
P2459	facultative	group2
P2460	facultative	group1
P2461	facultative	group2
P2462	facultative	group1
P2463	facultative	group2
P2464	facultative	group1
P2465	facultative	group2
P2466	facultative	group1
P2467	facultative	group2
P2468	facultative	group1
P2469	facultative	group2
P2470	facultative	group1
P2471	facultative	group2
P2472	facultative	group1
P2473	facultative	group2
P2474	facultative	group1
P2475	facultative	group2
P2476	facultative	group1
P2477	facultative	group2
P2478	facultative	group1
P2479	facultative	group2
P2480	facultative	group1
P2481	facultative	group2
P2482	facultative	group1
P2483	facultative	group2
P2484	facultative	group1
P2485	facultative	group2
P2486	facultative	group1
P2487	facultative	group2
P2488	facultative	group1
P2489	facultative	group2
P2490	facultative	group1
P2491	facultative	group2
P2492	facultative	group1
P2493	facultative	group2
P2494	facultative	group1
P2495	facultative	group2
P2496	facultative	group1
P2497	facultative	group2
P2498	facultative	group1
P2499	facultative	group2
P2500	facultative	group1
P2501	facultative	group2
P2502	facultative	group1
P2503	facultative	group2
P2504	facultative	group1
P2505	facultative	group2
P2506	facultative	group1
P2507	facultative	group2
P2508	facultative	group1
P2509	facultative	group2
P2510	facultative	group1
P2511	facultative	group2
P2512	facultative	group1
P2513	facultative	group2
P2514	facultative	group1
P2515	facultative	group2
P2516	facultative	group1
P2517	facultative	group2
P2518	facultative	group1
P2519	facultative	group2
P2520	facultative	group1
P2521	facultative	group2
P2522	facultative	group1
P2523	facultative	group2
P2524	facultative	group1
P2525	facultative	group2
P2526	facultative	group1
P2527	facultative	group2
P2539	facultative	group1
P2540	facultative	group2
P2557	facultative	group1
P2558	facultative	group2
P2559	facultative	group1
P2560	facultative	group2
P2561	facultative	group1
P2562	facultative	group2
P2563	facultative	group1
P2564	facultative	group2
P2565	facultative	group1
P2566	facultative	group2
P2567	facultative	group1
P2568	facultative	group2
P2569	facultative	group1
P2570	facultative	group2
P2571	facultative	group1
P2582	facultative	group2
P2585	facultative	group1
P2586	facultative	group2
P2591	facultative	group1
P2596	facultative	group2
P2608	facultative	group1
P2672	facultative	group2
P2675	facultative	group1
P2693	facultative	group2
P2703	facultative	group1
P2704	facultative	group2
P2738	facultative	group1
P2740	facultative	group2
P2745	facultative	group1
P2768	facultative	group2
P2769	facultative	group1
P2770	facultative	group2
P2771	facultative	group1
P2772	facultative	group2
P2774	facultative	group1
P2782	facultative	group2
P2783	facultative	group1
P2784	facultative	group2
P2786	facultative	group1
P2787	facultative	group2
P2788	facultative	group1
P2789	facultative	group2
P2790	facultative	group1
P2791	facultative	group2
P2792	facultative	group1
P2793	facultative	group2
P2794	facultative	group1
P2795	facultative	group2
P2796	facultative	group1
P2797	facultative	group2
P2798	facultative	group1
P2799	facultative	group2
P2800	facultative	group1
P2801	facultative	group2
P2802	facultative	group1
P2804	facultative	group2
P2805	facultative	group1
P2807	facultative	group2
P2809	facultative	group1
P2810	facultative	group2
P2812	facultative	group1
P2813	facultative	group2
P2814	facultative	group1
P2816	facultative	group2
P2817	facultative	group1
P2818	facultative	group2
P2819	facultative	group1
P2820	facultative	group2
P2822	facultative	group1
P2832	facultative	group2
P2833	facultative	group1
P2842	facultative	group2
P2846	facultative	group1
P2847	facultative	group2
P2848	facultative	group1
P2849	facultative	group2
P2857	facultative	group1
P2858	facultative	group2
P2859	facultative	group1
P002	anaerobe	group1
P003	anaerobe	group2
P008	anaerobe	group1
P015	anaerobe	group2
P016	anaerobe	group1
P017	anaerobe	group2
P018	anaerobe	group1
P020	anaerobe	group2
P021	anaerobe	group1
P022	anaerobe	group2
P023	anaerobe	group1
P024	anaerobe	group2
P025	anaerobe	group1
P060	anaerobe	group2
P061	anaerobe	group1
P062	anaerobe	group2
P064	anaerobe	group1
P065	anaerobe	group2
P074	anaerobe	group1
P075	anaerobe	group2
P090	anaerobe	group1
P091	anaerobe	group2
P092	anaerobe	group1
P093	anaerobe	group2
P094	anaerobe	group1
P095	anaerobe	group2
P096	anaerobe	group1
P097	anaerobe	group2
P098	anaerobe	group1
P099	anaerobe	group2
P100	anaerobe	group1
P101	anaerobe	group2
P102	anaerobe	group1
P103	anaerobe	group2
P104	anaerobe	group1
P105	anaerobe	group2
P106	anaerobe	group1
P107	anaerobe	group2
P108	anaerobe	group1
P109	anaerobe	group2
P110	anaerobe	group1
P111	anaerobe	group2
P112	anaerobe	group1
P113	anaerobe	group2
P114	anaerobe	group1
P115	anaerobe	group2
P116	anaerobe	group1
P117	anaerobe	group2
P118	anaerobe	group1
P119	anaerobe	group2
P120	anaerobe	group1
P121	anaerobe	group2
P122	anaerobe	group1
P123	anaerobe	group2
P124	anaerobe	group1
P125	anaerobe	group2
P126	anaerobe	group1
P127	anaerobe	group2
P128	anaerobe	group1
P129	anaerobe	group2
P130	anaerobe	group1
P131	anaerobe	group2
P132	anaerobe	group1
P133	anaerobe	group2
P134	anaerobe	group1
P135	anaerobe	group2
P150	anaerobe	group1
P151	anaerobe	group2
P152	anaerobe	group1
P155	anaerobe	group2
P157	anaerobe	group1
P163	anaerobe	group2
P164	anaerobe	group1
P167	anaerobe	group2
P168	anaerobe	group1
P169	anaerobe	group2
P171	anaerobe	group1
P172	anaerobe	group2
P173	anaerobe	group1
P174	anaerobe	group2
P175	anaerobe	group1
P185	anaerobe	group2
P186	anaerobe	group1
P188	anaerobe	group2
P203	anaerobe	group1
P215	anaerobe	group2
P222	anaerobe	group1
P243	anaerobe	group2
P244	anaerobe	group1
P245	anaerobe	group2
P246	anaerobe	group1
P247	anaerobe	group2
P248	anaerobe	group1
P249	anaerobe	group2
P250	anaerobe	group1
P251	anaerobe	group2
P252	anaerobe	group1
P253	anaerobe	group2
P254	anaerobe	group1
P255	anaerobe	group2
P256	anaerobe	group1
P257	anaerobe	group2
P258	anaerobe	group1
P259	anaerobe	group2
P260	anaerobe	group1
P261	anaerobe	group2
P262	anaerobe	group1
P263	anaerobe	group2
P264	anaerobe	group1
P265	anaerobe	group2
P266	anaerobe	group1
P267	anaerobe	group2
P268	anaerobe	group1
P269	anaerobe	group2
P270	anaerobe	group1
P271	anaerobe	group2
P272	anaerobe	group1
P273	anaerobe	group2
P274	anaerobe	group1
P275	anaerobe	group2
P276	anaerobe	group1
P277	anaerobe	group2
P278	anaerobe	group1
P290	anaerobe	group2
P291	anaerobe	group1
P292	anaerobe	group2
P293	anaerobe	group1
P294	anaerobe	group2
P295	anaerobe	group1
P296	anaerobe	group2
P297	anaerobe	group1
P298	anaerobe	group2
P299	anaerobe	group1
P300	anaerobe	group2
P301	anaerobe	group1
P302	anaerobe	group2
P303	anaerobe	group1
P304	anaerobe	group2
P305	anaerobe	group1
P306	anaerobe	group2
P307	anaerobe	group1
P308	anaerobe	group2
P309	anaerobe	group1
P310	anaerobe	group2
P311	anaerobe	group1
P312	anaerobe	group2
P313	anaerobe	group1
P314	anaerobe	group2
P315	anaerobe	group1
P316	anaerobe	group2
P317	anaerobe	group1
P318	anaerobe	group2
P319	anaerobe	group1
P320	anaerobe	group2
P321	anaerobe	group1
P322	anaerobe	group2
P323	anaerobe	group1
P324	anaerobe	group2
P325	anaerobe	group1
P326	anaerobe	group2
P327	anaerobe	group1
P328	anaerobe	group2
P329	anaerobe	group1
P330	anaerobe	group2
P331	anaerobe	group1
P332	anaerobe	group2
P333	anaerobe	group1
P334	anaerobe	group2
P335	anaerobe	group1
P336	anaerobe	group2
P337	anaerobe	group1
P338	anaerobe	group2
P339	anaerobe	group1
P340	anaerobe	group2
P341	anaerobe	group1
P342	anaerobe	group2
P343	anaerobe	group1
P344	anaerobe	group2
P345	anaerobe	group1
P346	anaerobe	group2
P347	anaerobe	group1
P348	anaerobe	group2
P349	anaerobe	group1
P350	anaerobe	group2
P351	anaerobe	group1
P352	anaerobe	group2
P353	anaerobe	group1
P354	anaerobe	group2
P355	anaerobe	group1
P356	anaerobe	group2
P357	anaerobe	group1
P358	anaerobe	group2
P359	anaerobe	group1
P360	anaerobe	group2
P361	anaerobe	group1
P362	anaerobe	group2
P363	anaerobe	group1
P364	anaerobe	group2
P365	anaerobe	group1
P366	anaerobe	group2
P367	anaerobe	group1
P368	anaerobe	group2
P369	anaerobe	group1
P370	anaerobe	group2
P371	anaerobe	group1
P372	anaerobe	group2
P373	anaerobe	group1
P374	anaerobe	group2
P375	anaerobe	group1
P376	anaerobe	group2
P377	anaerobe	group1
P378	anaerobe	group2
P379	anaerobe	group1
P380	anaerobe	group2
P381	anaerobe	group1
P382	anaerobe	group2
P383	anaerobe	group1
P384	anaerobe	group2
P385	anaerobe	group1
P386	anaerobe	group2
P387	anaerobe	group1
P388	anaerobe	group2
P389	anaerobe	group1
P390	anaerobe	group2
P391	anaerobe	group1
P392	anaerobe	group2
P393	anaerobe	group1
P394	anaerobe	group2
P395	anaerobe	group1
P396	anaerobe	group2
P397	anaerobe	group1
P398	anaerobe	group2
P399	anaerobe	group1
P400	anaerobe	group2
P401	anaerobe	group1
P406	anaerobe	group2
P419	anaerobe	group1
P434	anaerobe	group2
P435	anaerobe	group1
P436	anaerobe	group2
P469	anaerobe	group1
P470	anaerobe	group2
P471	anaerobe	group1
P472	anaerobe	group2
P473	anaerobe	group1
P474	anaerobe	group2
P475	anaerobe	group1
P476	anaerobe	group2
P477	anaerobe	group1
P478	anaerobe	group2
P479	anaerobe	group1
P480	anaerobe	group2
P481	anaerobe	group1
P486	anaerobe	group2
P487	anaerobe	group1
P488	anaerobe	group2
P489	anaerobe	group1
P490	anaerobe	group2
P491	anaerobe	group1
P492	anaerobe	group2
P493	anaerobe	group1
P494	anaerobe	group2
P495	anaerobe	group1
P497	anaerobe	group2
P498	anaerobe	group1
P500	anaerobe	group2
P508	anaerobe	group1
P509	anaerobe	group2
P513	anaerobe	group1
P514	anaerobe	group2
P515	anaerobe	group1
P519	anaerobe	group2
P520	anaerobe	group1
P522	anaerobe	group2
P524	anaerobe	group1
P528	anaerobe	group2
P529	anaerobe	group1
P530	anaerobe	group2
P531	anaerobe	group1
P541	anaerobe	group2
P546	anaerobe	group1
P547	anaerobe	group2
P548	anaerobe	group1
P549	anaerobe	group2
P554	anaerobe	group1
P555	anaerobe	group2
P586	anaerobe	group1
P587	anaerobe	group2
P588	anaerobe	group1
P589	anaerobe	group2
P590	anaerobe	group1
P591	anaerobe	group2
P592	anaerobe	group1
P593	anaerobe	group2
P594	anaerobe	group1
P595	anaerobe	group2
P596	anaerobe	group1
P597	anaerobe	group2
P598	anaerobe	group1
P599	anaerobe	group2
P600	anaerobe	group1
P601	anaerobe	group2
P602	anaerobe	group1
P603	anaerobe	group2
P604	anaerobe	group1
P605	anaerobe	group2
P606	anaerobe	group1
P607	anaerobe	group2
P608	anaerobe	group1
P609	anaerobe	group2
P610	anaerobe	group1
P611	anaerobe	group2
P612	anaerobe	group1
P613	anaerobe	group2
